OTU 1	OTU 2	corr	pval	abs
DQ45637711455	JN01265811453	0.302485175	0	0.302485175
AY91629411399	JX21835211552	0.302490823	0	0.302490823
GQ87171311490	HQ78061411484	0.30249487	0	0.30249487
AATC0100001821513	DQ01535511346	0.302508088	0	0.302508088
EF09656011389	HQ74654411445	0.302512356	0	0.302512356
JF08949711303	DQ45595811447	0.302524523	0	0.302524523
GQ17551611432	KF09503711343	0.302544179	0	0.302544179
FP92906038375503	HK55612291470	0.30254925	0	0.30254925
DQ45607611438	AY91636111356	0.302571912	0	0.302571912
DQ45629911422	HQ76158711455	0.30257413	0	0.30257413
GQ35847511354	AB61505111516	0.302576307	0	0.302576307
DQ80899811391	DQ80866911368	0.302581559	0	0.302581559
DQ05736511393	HQ77750711443	0.302583705	0	0.302583705
JX09541011329	FN66728811488	0.302584836	0	0.302584836
