OTU 1	OTU 2	corr	pval
DQ45584511443	DQ05739311386	0.263215318118	0.0
DQ45584511443	DQ45625811441	0.277455404797	0.0
DQ45584511443	KC56110911508	-0.299042734882	0.0
DQ45584511443	DQ45582411440	0.316832710437	0.0
DQ45584511443	DQ45615511438	0.422345542589	0.0
DQ45584511443	GQ17539111436	0.451337565633	0.0
DQ45584511443	DQ05741311447	0.276964852	0.0
GQ44834811394	GQ07075411388	-0.333505972082	0.0
EU79113411555	GQ13574111431	0.508843469649	0.0
EU79113411555	GQ26787611424	0.42893960009	0.0
EU79113411555	KC56110911508	0.391243993186	0.0
DQ45597511444	GQ49147811372	0.256168194827	0.0
DQ45597511444	AY98530011345	0.350339169886	0.0
DQ45597511444	GQ44918111364	0.259879771619	0.0
DQ45597511444	GQ17539111436	0.263000339368	0.0
DQ45597511444	DQ45619811446	0.259949209523	0.0
AM27740411521	EU00985511492	0.281386533109	0.0
AM27740411521	GQ07075411388	-0.270682813786	0.0
DQ05739311386	DQ45615511438	0.309058924645	0.0
DQ05739311386	GQ17539111436	0.350780977272	0.0
GQ17551511424	AB61613411495	0.257713563883	0.0
GQ17551511424	GQ49147811372	0.252133054892	0.0
GQ17551511424	KC56110911508	-0.269847849525	0.0
GQ17551511424	DQ45582411440	0.319706614778	0.0
GQ17551511424	DQ45615511438	0.345227749906	0.0
GQ17551511424	GQ17539111436	0.375681066756	0.0
GQ17551511424	DQ05741311447	0.286588781073	0.0
AB61613411495	GQ49147811372	0.383782746013	0.0
AB61613411495	AF37182011450	-0.327443336672	0.0
AB61613411495	HQ79430911447	0.3119887436	0.0
AB61613411495	GQ07075411388	0.419224518133	0.0
AB61613411495	KC56110911508	-0.285359817505	0.0
AB61613411495	DQ80001711383	0.294689226403	0.0
AB61613411495	FJ36750911357	0.296849336343	0.0
AB61613411495	GQ23143611471	0.277927581202	0.0
AB61613411495	EU76701811359	0.328092784985	0.0
AB61613411495	DQ45638611446	-0.279508993968	0.0
AB61613411495	DQ45582411440	0.362495407595	0.0
AB61613411495	DQ79368311390	0.277042323276	0.0
AB61613411495	DQ45615511438	0.429620866174	0.0
AB61613411495	GQ17539111436	0.459371130714	0.0
AB61613411495	DQ05741311447	0.321756129906	0.0
AB61613411495	DQ80650611388	0.293239547984	0.0
GQ13574111431	EU45364311432	0.256285128663	0.0
GQ13574111431	GQ44892911311	0.261548865774	0.0
GQ13574111431	GQ26787611424	0.6605090936	0.0
GQ13574111431	GQ07075411388	0.383736831372	0.0
GQ13574111431	DQ05742911489	0.251088197978	0.0
GQ13574111431	KC56110911508	0.393500199672	0.0
GQ13574111431	GQ23143611471	0.458792152243	0.0
GQ13574111431	GQ44825611427	0.334346668063	0.0
GQ13574111431	JQ47333711437	0.449314308484	0.0
DQ45635711475	DQ45634211453	0.383203924899	0.0
JN62021211429	GQ26787611424	0.33958959539	0.0
JN62021211429	KC56110911508	0.290103192848	0.0
GQ49147811372	HQ79430911447	0.697556316075	0.0
GQ49147811372	AY98530011345	0.40302755688	0.0
GQ49147811372	DQ05738311395	0.270886143664	0.0
GQ49147811372	GQ07075411388	0.494895530722	0.0
GQ49147811372	KC56110911508	-0.457001018938	0.0
GQ49147811372	GQ23143611471	0.450756471454	0.0
GQ49147811372	EU76701811359	0.71556029528	0.0
GQ49147811372	DQ45582411440	0.476833931738	0.0
GQ49147811372	DQ45615511438	0.45741830232	0.0
GQ49147811372	GQ17539111436	0.553241411422	0.0
GQ49147811372	DQ05741311447	0.387426974615	0.0
DQ05740711424	GQ07075411388	-0.283344078271	0.0
EU45364311432	GQ44892911311	0.309314350249	0.0
EU45364311432	KC56110911508	0.250030866062	0.0
EU45364311432	GQ44825611427	0.387467489332	0.0
AF37182011450	GQ17539111436	-0.258876240533	0.0
HQ79430911447	AY98530011345	0.326972856911	0.0
HQ79430911447	GQ07075411388	0.394940608855	0.0
HQ79430911447	KC56110911508	-0.411783735607	0.0
HQ79430911447	GQ23143611471	0.390080876282	0.0
HQ79430911447	EU76701811359	0.660742824634	0.0
HQ79430911447	DQ45582411440	0.38966259153	0.0
HQ79430911447	DQ45615511438	0.35428635996	0.0
HQ79430911447	GQ17539111436	0.419602038236	0.0
HQ79430911447	DQ05741311447	0.299647806211	0.0
DQ45633611472	DQ45634211453	0.26341983064	0.0
DQ45633611472	GQ44805211379	0.300234466172	0.0
DQ45633611472	FJ36526211373	0.393161806417	0.0
DQ45634211453	EU00985511492	0.265998605768	0.0
DQ45634211453	DQ45623011471	0.287238124537	0.0
JQ24809511513	KC56110911508	-0.267606049901	0.0
JQ24809511513	DQ45615511438	0.344218051165	0.0
JQ24809511513	GQ17539111436	0.3640135887	0.0
AY98530011345	GQ07075411388	0.276035327616	0.0
AY98530011345	KC56110911508	-0.343644044146	0.0
AY98530011345	EU76701811359	0.34164497313	0.0
AY98530011345	GQ44918111364	0.317024397974	0.0
AY98530011345	DQ45582411440	0.262677212548	0.0
AY98530011345	DQ45615511438	0.325791651001	0.0
AY98530011345	GQ17539111436	0.388816173916	0.0
AY98530011345	DQ45619811446	0.303734905215	0.0
AY98530011345	FJ36526211373	0.299315861773	0.0
EU45286111430	GQ44825611427	0.29601353469	0.0
EU45286111430	GQ17539111436	-0.279047897583	0.0
EU77897411385	GQ17539111436	0.262146778049	0.0
GQ44892911311	EU45549311432	0.422447800096	0.0
GQ44892911311	GQ44825611427	0.806088462569	0.0
GQ44892911311	EF09737311429	0.540983303615	0.0
GQ44805211379	DQ45623011471	0.268585324664	0.0
